"","PlaceCode","pop","popMOE","hh","hhMOE","m_under5","m_under5MOE","f_under5","f_under5MOE","racepop","racepopMOE","white","whiteMOE","black","blackMOE","asian","asianMOE","hisp","hispMOE","renter","renterMOE","occupied","occupiedMOE","Population","Population_MOE","Total_Households","Total_Households_MOE","Population_Under_5","Population_Under_5_MOE","White_percent","White_MOEprop","Black_percent","Black_MOEprop","Asian_percent","Asian_MOEprop","Hispanic_percent","Hispanic_MOEprop","Renter_percent","Renter_MOEprop"
"19",701,909,197,308,40,5,8,14,14,909,197,32,25,843,191,5,7,2,4,105,36,308,40,909,197,308,40,19,16.1245154965971,0.0352035203520352,0.026423361826765,0.927392739273927,0.0612815244464178,0.0055005500550055,0.00760794223241667,0.0022002200220022,0.00437452861667789,0.340909090909091,0.108173398257913
"20",702,1816,264,659,77,30,28,59,37,1816,264,310,117,1371,275,60,69,54,78,278,80,659,77,1816,264,659,77,89,46.4004310324807,0.170704845814978,0.0594561912057108,0.754955947136564,0.10433703209349,0.0330396475770925,0.0376907846881277,0.0297356828193833,0.0427334561420995,0.42185128983308,0.110938867225494
"21",800,1834,226,643,70,83,46,122,57,1834,226,224,108,1556,197,13,20,8,13,322,78,643,70,1834,226,643,70,205,73.24616030892,0.122137404580153,0.056931834798964,0.848418756815703,0.0246499280451891,0.00708833151581243,0.0108700870419873,0.00436205016357688,0.00706792112962697,0.500777604976672,0.108365739180548
"22",901,946,170,381,42,6,12,46,50,946,170,170,136,776,171,0,12,0,12,243,54,381,42,946,170,381,42,52,51.4198405287298,0.179704016913319,0.14008921887913,0.820295983086681,0.104617037241514,0,0.0126849894291755,0,0.0126849894291755,0.637795275590551,0.123064233387128
"23",902,659,248,144,46,28,24,24,22,659,248,13,13,633,247,0,12,0,12,46,33,144,46,659,248,144,46,52,32.5576411921994,0.0197268588770865,0.0182766703036597,0.960546282245827,0.0990697292107558,0,0.0182094081942337,0,0.0182094081942337,0.319444444444444,0.2051931516368
"24",903,660,153,301,46,39,38,17,15,660,153,7,9,649,150,0,12,0,12,125,48,301,46,660,153,301,46,56,40.853396431631,0.0106060606060606,0.0134128787834585,0.983333333333333,0.321894652573434,0,0.0181818181818182,0,0.0181818181818182,0.415282392026578,0.146295475351899
"25",904,1014,166,422,52,36,28,57,36,1014,166,40,38,923,163,0,12,41,42,264,61,422,52,1014,166,422,52,93,45.6070170039655,0.0394477317554241,0.0369147241500653,0.91025641025641,0.0602871109904844,0,0.0118343195266272,0.0404339250493097,0.0408877765351615,0.625592417061611,0.122279168000048
"26",1100,1876,250,940,82,22,24,43,28,1876,250,1139,140,670,206,12,14,38,32,538,81,940,82,1876,250,940,82,65,36.8781778291715,0.607142857142857,0.110070306968548,0.357142857142857,0.0989578822338621,0.00639658848614072,0.00741384275519969,0.0202558635394456,0.0168426310956719,0.572340425531915,0.0702320683043687
"27",1200,1824,164,992,77,45,24,5,8,1824,164,1358,151,254,107,8,13,133,57,481,74,992,77,1824,164,992,77,50,25.298221281347,0.744517543859649,0.0487056163819505,0.139254385964912,0.0573105205306714,0.0043859649122807,0.00711627474341871,0.0729166666666667,0.0305545414455575,0.484879032258065,0.0644061451436715
"28",1301,1904,232,828,85,56,47,38,33,1904,232,577,108,1191,221,20,23,47,39,481,86,828,85,1904,232,828,85,94,57.4282160614449,0.303046218487395,0.0430575053869608,0.625525210084034,0.0875395379023366,0.0105042016806723,0.0120118331140038,0.0246848739495798,0.0202611505354196,0.580917874396135,0.0850383168485451
"29",1302,1137,198,523,67,31,26,19,21,1137,198,177,84,926,202,0,12,19,16,347,66,523,67,1137,198,523,67,50,33.4215499341368,0.155672823218997,0.0687251056863328,0.814423922603342,0.106998592470522,0,0.0105540897097625,0.0167106420404573,0.0137679432150945,0.663479923518164,0.0932779985037429
"30",1401,1406,217,599,73,53,47,0,12,1406,217,35,38,1357,220,0,12,14,22,263,70,599,73,1406,217,599,73,53,48.5077313425396,0.0248933143669986,0.0267525557867966,0.965149359886202,0.0479015764105089,0,0.0085348506401138,0.00995732574679943,0.015571574587014,0.43906510851419,0.103891321813656
"31",1402,2006,293,913,73,53,43,76,58,2006,293,137,60,1580,311,0,12,210,129,386,87,913,73,2006,293,913,73,129,72.2011080247388,0.0682951146560319,0.0281978266192068,0.787637088733799,0.103926730463857,0,0.00598205383848455,0.10468594217348,0.0624627677879966,0.422782037239869,0.0890927548981274
"32",1500,850,206,451,53,46,33,27,34,850,206,128,48,693,203,0,12,15,17,260,62,451,53,850,206,451,53,73,47.3814309619285,0.150588235294118,0.0430929888625531,0.815294117647059,0.134146539258541,0,0.0141176470588235,0.0176470588235294,0.0195373703372028,0.57649667405765,0.11961958287002
"33",1600,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,16.9705627484771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",1701,2243,260,657,65,46,40,58,45,2243,260,44,46,2168,262,0,12,26,32,195,52,657,65,2243,260,657,65,104,60.2079728939615,0.0196165849308961,0.0203817983133061,0.966562639322336,0.0330311196957964,0,0.00534997770842621,0.0115916183682568,0.0142031922381309,0.296803652968037,0.073498956126619
