"","parish","tract","medhhinc","medhhincMOE","hhunder18","hhunder18MOE","totinta","totaintMOE","NoSubscript","NoSubscriptMOE","NoAccess","NoAccessMOE","Median_household_income","Median_household_incomeMOE","Households_with_people_under18","Households_with_people_under18MOE","No_home_internet_access_percent","No_home_internet_access_MOEagg","No_home_internet_access_MOEprop"
"561","071","013900",49265,7883,128,128,908,81,8,11,180,68,49265,7883,128,128,0.20704845814978,68.8839603971781,0.0735806136535281
"562","115","950702",36490,7302,806,806,1139,103,13,17,119,68,36490,7302,806,806,0.115891132572432,70.0927956355002,0.0606399484480872
"563","115","950703",36372,5682,563,563,1084,146,61,63,32,50,36372,5682,563,563,0.0857933579335793,80.4300938703916,0.0732922030540511
"564","071","014200",51510,3954,109,109,909,65,42,36,218,58,51510,3954,109,109,0.286028602860286,68.264192663504,0.0722592484164874
"565","071","014400",51500,17442,126,126,750,80,34,30,195,68,51500,17442,126,126,0.305333333333333,74.3236167042482,0.093593332673795
"566","071","014300",11783,2007,297,297,772,79,90,45,385,80,11783,2007,297,297,0.615284974093264,91.7877987534291,0.100856004365068
"567","103","040709",67398,9780,581,581,1532,94,34,32,148,79,67398,9780,581,581,0.118798955613577,85.2349693494401,0.0551568350019959
"568","103","041210",72153,11842,372,372,915,72,26,26,97,47,72153,11842,372,372,0.134426229508197,53.7121960079831,0.0577409536062979
"569","103","040710",70116,13261,817,817,2056,92,35,31,201,81,70116,13261,817,817,0.114785992217899,86.7294644281861,0.0418697197804311
"570","103","040604",50954,9996,1255,1255,3475,230,60,47,504,175,50954,9996,1255,1255,0.162302158273381,181.201545247274,0.0510258177066317
"571","103","041207",88582,8150,630,630,1579,104,33,43,149,62,88582,8150,630,630,0.115262824572514,75.4519714785505,0.0471777388165374
"572","103","040305",100039,10949,2340,2340,4527,250,67,58,528,191,100039,10949,2340,2340,0.131433620499227,199.612123880289,0.0434921844668458
"573","029","000300",28423,8329,362,362,1439,152,9,11,665,145,28423,8329,362,362,0.468380820013899,145.416642788919,0.088114530275865
"574","029","000400",37733,4327,590,590,1680,182,63,48,535,140,37733,4327,590,590,0.355952380952381,148,0.0792072034648322
"575","029","000500",40547,13345,288,288,1247,138,48,42,474,120,40547,13345,288,288,0.418604651162791,127.137720602503,0.0908227786416783
"576","085","000400",45000,10193,549,549,1726,153,97,60,691,127,45000,10193,549,549,0.456546929316338,140.459958707099,0.0706022715290528
"577","085","000600",52771,6334,412,412,1371,117,88,58,418,92,52771,6334,412,412,0.36907366885485,108.75660899458,0.0728056678047739
"578","085","000700",66994,11779,285,285,1159,126,55,55,312,91,66994,11779,285,285,0.31665228645384,106.329676008159,0.085039093519525
"579","085","000500",29528,6419,481,481,1273,177,34,26,518,127,29528,6419,481,481,0.433621366849961,129.634100452003,0.0820671358321624
"580","085","000200",36146,3644,428,428,1629,124,113,48,646,110,36146,3644,428,428,0.465930018416206,120.01666550942,0.064576497603903
"581","085","000100",41658,5518,315,315,1099,126,66,42,465,87,41658,5518,315,315,0.483166515013649,96.6074531286277,0.0682544710315109
"582","085","000300",27070,4318,331,331,917,78,21,12,426,50,27070,4318,331,331,0.487459105779716,51.4198405287298,0.0377503554198435
"583","071","000618",114964,11397,482,482,1371,97,49,45,94,51,114964,11397,482,482,0.104303428154632,68.0147042925278,0.0490576167240159
"584","071","000615",33369,5634,598,598,2115,137,129,84,818,196,33369,5634,598,598,0.447754137115839,213.241646964189,0.0965617532773862
"585","071","980100",-666666666,-222222222,0,0,0,12,0,12,0,12,-666666666,-222222222,0,0,NA,16.9705627484771,NA
"586","071","001751",10580,2831,51,51,273,49,25,22,178,52,10580,2831,51,51,0.743589743589744,56.4623768539724,0.157995049935305
"587","071","990000",-666666666,-222222222,0,0,0,12,0,12,0,12,-666666666,-222222222,0,0,NA,16.9705627484771,NA
"588","071","001744",19035,3339,608,608,1635,111,87,66,724,146,19035,3339,608,608,0.496024464831804,160.224842018958,0.0920291927937325
"589","071","001743",27946,8329,268,268,882,82,22,27,359,84,27946,8329,268,268,0.431972789115646,88.2326470191165,0.0916216112426127
"590","071","000617",32500,10173,612,612,2176,218,105,94,569,216,32500,10173,612,612,0.309742647058824,235.567400121494,0.103714315485895
"591","071","001746",31864,4081,465,465,1589,111,40,35,646,139,31864,4081,465,465,0.431718061674009,143.33875958721,0.0850164271667854
"592","071","001748",43649,4590,513,513,1509,122,55,38,437,117,43649,4590,513,513,0.326043737574553,123.016259087976,0.077142310746044
"593","071","001747",82125,13980,409,409,1461,67,22,23,251,81,82125,13980,409,409,0.186858316221766,84.2021377400835,0.0569926155189803
"594","071","001750",31750,8686,462,462,1092,103,28,32,453,123,31750,8686,462,462,0.44047619047619,127.094453065427,0.108718762948519
"595","045","030302",52268,9316,716,716,2110,157,54,47,517,156,52268,9316,716,716,0.270616113744076,162.926363735278,0.074544622477562
"596","045","990000",-666666666,-222222222,0,0,0,12,0,12,0,12,-666666666,-222222222,0,0,NA,16.9705627484771,NA
"597","015","010806",60385,9596,520,520,1616,107,126,84,213,95,60385,9596,520,520,0.209777227722772,126.81088281374,0.0772330026987004
"598","015","011002",72757,12689,665,665,1937,166,92,88,326,147,72757,12689,665,665,0.215797625193598,171.327172392473,0.086494738931783
"599","015","011001",56475,6072,1021,1021,3110,243,241,152,624,249,56475,6072,1021,1021,0.278135048231511,291.727612680048,0.0912509500794854
"600","079","013800",42154,5963,370,370,1400,125,26,25,287,103,42154,5963,370,370,0.223571428571429,105.990565617889,0.0730284999234714
"601","033","980000",-666666666,-222222222,0,0,0,12,0,12,0,12,-666666666,-222222222,0,0,NA,16.9705627484771,NA
"602","033","005300",19075,3167,286,286,1157,100,87,62,525,130,19075,3167,286,286,0.52895419187554,144.027775099111,0.115784753599134
"603","033","005200",34063,8700,155,155,762,70,44,33,266,56,34063,8700,155,155,0.406824146981627,65,0.0766792987782222
"604","059","970200",28775,4695,696,696,2169,255,47,64,804,244,28775,4695,696,696,0.392346703550023,252.253840406841,0.106761146968686
"605","059","970300",51133,9325,600,600,1505,186,54,35,337,94,51133,9325,600,600,0.259800664451827,100.304536288246,0.0584033693049118
"606","059","970100",36786,4051,449,449,1370,134,36,27,486,97,36786,4051,449,449,0.381021897810219,100.687635785135,0.0633448364827632
"607","101","040100",30533,6694,287,287,1088,157,34,44,527,167,30533,6694,287,287,0.515625,172.699160391705,0.140211665331067
"608","101","040300",36267,8363,365,365,1199,143,51,54,376,135,36267,8363,365,365,0.356130108423686,145.399449792632,0.113585601601924
"609","101","040400",41850,5728,413,413,1559,140,33,26,507,123,41850,5728,413,413,0.346375881975625,125.717938258627,0.0743996631046578
"610","101","041400",35121,7544,269,269,1202,132,17,23,377,117,35121,7544,269,269,0.327787021630616,119.239255281136,0.0924393181392425
"611","101","041600",30568,6456,166,166,628,74,4,7,259,67,30568,6456,166,166,0.418789808917197,67.3646791723972,0.0952435945853669
"612","101","040600",36770,7292,577,577,2010,188,37,43,607,180,36770,7292,577,577,0.320398009950249,185.064853497362,0.0870586575777751
"613","103","040400",86964,10703,1328,1328,3647,231,228,164,389,165,86964,10703,1328,1328,0.169180148066904,232.639205638259,0.0628826915148683
"614","103","041101",64414,9737,438,438,1357,109,92,60,251,100,64414,9737,438,438,0.252763448784083,116.619037896906,0.0835061382338227
"615","103","041003",68194,7919,776,776,2082,130,38,35,117,71,68194,7919,776,776,0.074447646493756,79.1580697086532,0.037734963439089
"616","103","041102",45329,11194,967,967,2588,172,48,48,544,192,45329,11194,967,967,0.228748068006182,197.909070029648,0.0749454215952443
"617","103","041104",68039,14651,381,381,1202,107,17,20,146,64,68039,14651,381,381,0.135607321131448,67.0522184569608,0.0544620863785408
"618","103","040303",70997,5267,1306,1306,3532,220,41,42,385,118,70997,5267,1306,1306,0.120611551528879,125.251746494809,0.0346570825357192
"619","103","040802",74089,9588,633,633,3054,198,101,87,154,74,74089,9588,633,633,0.0834970530451866,114.214710085873,0.0370045364327785
"620","103","040502",51875,11494,494,494,1586,127,78,58,326,110,51875,11494,494,494,0.254728877679697,124.354332453679,0.0757078486416238
"621","103","040704",40284,6807,585,585,2034,203,105,91,531,150,40284,6807,585,585,0.312684365781711,175.445148123281,0.0804130697334828
"622","103","040708",95313,18222,771,771,2069,142,65,55,56,47,95313,18222,771,771,0.0584823586273562,72.3463889907437,0.0347357082985967
"623","103","040803",53769,4415,1367,1367,3574,289,157,92,463,163,53769,4415,1367,1367,0.173475097929491,187.171044769216,0.0504565702551641
"624","103","041103",28783,12679,445,445,1039,122,28,27,231,79,28783,12679,445,445,0.249278152069297,83.4865258589672,0.0748318890391549
"625","103","041300",63315,12929,670,670,2783,226,69,64,393,173,63315,12929,670,670,0.16600790513834,184.458667456967,0.0648950494827211
"626","103","040102",48455,7888,1096,1096,3593,208,72,50,739,169,48455,7888,1096,1096,0.225716671305316,176.241311842598,0.0472788337464359
"627","103","040202",75625,11237,687,687,2553,172,21,22,223,110,75625,11237,687,687,0.0955738347042695,112.178429299041,0.043465500921492
"628","103","040601",93194,9647,257,257,1085,60,49,32,98,42,93194,9647,257,257,0.135483870967742,52.8015151297763,0.0480848036726729
"629","103","040602",63333,11177,325,325,1180,114,22,34,125,59,63333,11177,325,325,0.124576271186441,68.0955211449329,0.0564390992140247
"630","103","040706",55598,13051,708,708,2048,161,105,87,296,100,55598,13051,708,708,0.19580078125,132.548104475319,0.062863707101493
"631","103","040801",46641,7343,488,488,1867,120,57,38,245,99,46641,7343,488,488,0.161756829137654,106.042444332446,0.0558386479955464
"632","103","041004",70375,8462,519,519,1684,103,22,26,286,100,70375,8462,519,519,0.182897862232779,103.324730824716,0.0603283088974372
"633","103","041204",51675,7907,761,761,3385,192,22,35,507,183,51675,7907,761,761,0.156277695716396,186.316934281348,0.054323476080833
"634","103","040201",78477,22439,1154,1154,3317,176,86,85,629,229,78477,22439,1154,1154,0.215556225504974,244.266248180136,0.0727470986196513
"635","103","040304",117829,21562,747,747,2533,163,50,63,98,73,117829,21562,747,747,0.0584287406237663,96.4261375354214,0.0378818215463105
"636","099","020400",52113,5970,870,870,2127,194,159,98,412,145,52113,5970,870,870,0.268453220498355,175.011428198275,0.078553294778297
"637","099","020600",37430,17830,1176,1176,2370,251,107,106,955,226,37430,17830,1176,1176,0.448101265822785,249.62371682194,0.0940291645770948
"638","099","021000",46447,8445,139,139,744,88,12,20,268,73,46447,8445,139,139,0.376344086021505,75.690157880665,0.0914786522004294
"639","099","020900",35921,11877,237,237,718,88,97,60,115,43,35921,11877,237,237,0.295264623955432,73.8173421358423,0.0962300686005331
"640","099","020200",52757,5866,925,925,2554,204,98,74,762,197,52757,5866,925,925,0.33672670321065,210.440015206234,0.0778829224113642
"641","115","950400",31622,3541,422,422,1399,94,62,28,463,74,31622,3541,422,422,0.375268048606147,79.1201617794099,0.0506228220527484
"642","115","950200",48488,6502,554,554,1856,155,68,50,584,175,48488,6502,554,554,0.351293103448276,182.002747232013,0.0935704634932882
"643","115","950300",47730,5629,487,487,1511,139,66,58,498,115,47730,5629,487,487,0.373262739907346,128.79829191414,0.0780185062649646
"644","115","950900",55144,5995,919,919,2447,140,90,39,531,111,55144,5995,919,919,0.253780138945648,117.652029306765,0.0458353691781798
"645","115","950100",47784,2748,658,658,1892,132,32,25,639,101,47784,2748,658,658,0.354651162790698,104.048065815757,0.0491129817611346
"646","115","950500",41374,2025,817,817,2292,121,97,37,508,64,41374,2025,817,817,0.263961605584642,73.9256383131049,0.029088095819167
"647","115","950600",61438,3276,417,417,1496,125,70,40,279,112,61438,3276,417,417,0.233288770053476,118.928549978548,0.0770708604301762
"648","115","950800",45853,8406,486,486,1513,128,115,75,523,129,45853,8406,486,486,0.4216787838731,149.217961385351,0.0919458193481801
"649","127","960100",46023,10613,360,360,1208,149,27,32,308,88,46023,10613,360,360,0.277317880794702,93.637599285757,0.0695592219565332
"650","127","960200",34569,10579,618,618,2102,194,51,49,859,203,34569,10579,618,618,0.432921027592769,208.830074462468,0.0909594937494417
"651","127","960300",24922,4916,364,364,1103,125,14,22,282,89,24922,4916,364,364,0.268359020852221,91.6787870774914,0.0773539431967546
"652","127","960400",20359,2713,321,321,969,137,31,26,309,99,20359,2713,321,321,0.350877192982456,102.357217625334,0.0932583607734906
"653","033","001900",94306,14911,293,293,1064,101,0,12,51,32,94306,14911,293,293,0.0479323308270677,34.1760149812701,0.0317964215079682
"654","033","001104",19324,2582,625,625,1877,146,289,112,636,135,19324,2582,625,625,0.492807671816729,175.410946066658,0.0852294359464349
"655","033","003300",33013,4821,494,494,1763,141,85,76,510,131,33013,4821,494,494,0.337492909812819,151.449661604112,0.0815538467030626
"656","033","003507",69176,9950,515,515,1826,131,71,45,249,95,69176,9950,515,515,0.175246440306681,105.118980208143,0.0561782557758804
"657","033","004403",84476,5382,624,624,1897,146,32,40,193,87,84476,5382,624,624,0.118608328940432,95.7548954362125,0.0496447270889598
"658","033","002200",31842,18218,127,127,596,62,48,41,210,60,31842,18218,127,127,0.432885906040268,72.6704891960967,0.113309979733701
"659","033","003202",65938,12814,391,391,1291,109,52,43,305,93,65938,12814,391,391,0.276529821843532,102.459748194108,0.0758527220466402
"660","033","003604",32408,11103,813,813,2059,187,180,117,438,158,32408,11103,813,813,0.300145701796989,196.603662224283,0.0915112614182338
"661","033","003701",61889,12076,620,620,2467,167,98,101,344,139,61889,12076,620,620,0.179164977705715,171.819672913203,0.0685830750546025
"662","033","003904",36543,2509,770,770,2662,194,249,125,476,168,36543,2509,770,770,0.272351615326822,209.401528170164,0.0761179922793576
"663","033","004503",54564,8083,553,553,1872,240,34,39,282,131,54564,8083,553,553,0.168803418803419,136.682112948257,0.0697329464420848
"664","033","000300",28047,8254,203,203,545,56,25,30,152,54,28047,8254,203,203,0.324770642201835,61.773780845922,0.108322594857872
"665","033","000701",25592,6776,270,270,820,73,80,46,289,83,25592,6776,270,270,0.45,94.8946784598589,0.108569996912707
"666","033","000702",26296,8468,218,218,1268,140,88,70,457,112,26296,8468,218,218,0.42981072555205,132.075735848792,0.0927223120327465
"667","033","000900",28017,11659,421,421,1458,130,54,50,515,128,28017,11659,421,421,0.390260631001372,137.419067090415,0.0875932078232354
"668","103","040701",62643,17885,1112,1112,3100,162,126,98,358,145,62643,17885,1112,1112,0.156129032258065,175.011428198275,0.0558626130295205
"669","103","040900",35770,6462,316,316,1151,118,8,13,455,129,35770,6462,316,316,0.402258905299739,129.653384066904,0.104823708850371
"670","103","040501",39009,8519,434,434,1359,114,50,59,410,111,39009,8519,434,434,0.338484179543782,125.706006220864,0.0880331633241324
"671","103","040705",71123,13757,1134,1134,2427,159,29,35,293,147,71123,13757,1134,1134,0.132674083230326,151.10923201446,0.0616520480127199
"672","103","041002",55721,8618,261,261,1125,88,8,14,153,73,55721,8618,261,261,0.143111111111111,74.3303437365925,0.0651161727954968
"673","103","041202",49125,21133,260,260,873,101,0,12,145,67,49125,21133,260,260,0.166093928980527,68.0661443009665,0.0755630351752542
"674","111","960200",38411,5837,363,363,1285,127,57,32,665,107,38411,5837,363,363,0.561867704280156,111.682585929947,0.0668588488322715
"675","111","960300",31461,5359,288,288,1183,138,10,12,645,114,31461,5359,288,288,0.553677092138631,114.629839047257,0.0722326077773968
"676","111","960500",53508,3824,505,505,1499,181,143,98,355,133,53508,3824,505,505,0.332221480987325,165.205932096883,0.102650936224791
"677","111","960400",27038,7628,390,390,1152,147,18,25,602,142,27038,7628,390,390,0.538194444444444,144.183910336764,0.104635384634854
"678","111","960100",39207,8760,396,396,1622,143,43,32,763,145,39207,8760,396,396,0.49691738594328,148.489056835849,0.0803837754060593
"679","111","960600",55966,10168,305,305,1230,135,12,18,462,108,55966,10168,305,305,0.385365853658537,109.489725545368,0.0783254868834651
"680","017","024700",57000,10237,208,208,714,52,88,49,188,61,57000,10237,208,208,0.38655462184874,78.2432105680742,0.105906398883752
"681","071","003308",26910,6003,282,282,1519,109,21,23,589,115,26910,6003,282,282,0.401579986833443,117.277448812634,0.0716277424542069
"682","071","003701",40441,8884,93,93,954,64,21,19,300,74,40441,8884,93,93,0.336477987421384,76.4002617796562,0.0768370369582528
"683","071","003800",77321,12918,25,25,725,137,10,18,91,51,77321,12918,25,25,0.139310344827586,54.0832691319598,0.0697983238013444
"684","071","003900",33080,10963,36,36,565,80,46,28,103,40,33080,10963,36,36,0.263716814159292,48.8262224629348,0.0779344517627206
"685","071","004600",59375,11961,237,237,1400,85,81,44,168,67,59375,11961,237,237,0.177857142857143,80.156097709407,0.0562268110724013
"686","071","004900",16985,6350,96,96,705,92,0,12,363,88,16985,6350,96,96,0.514893617021277,88.8144132446981,0.106563090485997
"687","051","026600",50871,5032,164,164,805,58,11,12,197,58,50871,5032,164,164,0.258385093167702,59.2283715798434,0.0711814222851843
"688","071","005602",109531,16320,342,342,949,68,33,22,43,22,109531,16320,342,342,0.0800842992623814,31.1126983722081,0.0322786102560739
