"","parish","tract","medhhinc","medhhincMOE","hhunder18","hhunder18MOE","totinta","totaintMOE","NoSubscript","NoSubscriptMOE","NoAccess","NoAccessMOE","Median_household_income","Median_household_incomeMOE","Households_with_people_under18","Households_with_people_under18MOE","No_home_internet_access_percent","No_home_internet_access_MOEagg","No_home_internet_access_MOEprop"
"720","017","024601",14776,4559,674,674,1548,141,152,81,785,142,14776,4559,674,674,0.605297157622739,163.477827242718,0.0900714807952063
"721","017","021100",19583,8374,118,118,1026,140,67,54,511,136,19583,8374,118,118,0.563352826510721,146.328397790723,0.120130880679429
"722","017","022900",50142,6155,645,645,2349,201,110,103,546,193,50142,6155,645,645,0.279267773520647,218.764713790867,0.0900130055910377
"723","017","023400",34866,6719,905,905,2166,186,36,39,618,202,34866,6719,905,905,0.301939058171745,205.73040611441,0.0913742372607337
"724","017","023500",22476,5340,312,312,1206,122,58,42,568,124,22476,5340,312,312,0.519071310116086,130.919822792425,0.0950124626431955
"725","017","024602",17960,4031,407,407,1491,116,121,61,883,121,17960,4031,407,407,0.673373574782026,135.506457410708,0.0742640383980577
"726","017","020500",33028,9508,381,381,971,73,77,46,308,93,33028,9508,381,381,0.396498455200824,103.754517973918,0.102611171727883
"727","017","022800",63814,6754,479,479,1633,113,79,42,189,80,63814,6754,479,479,0.164115125535824,90.3548559846121,0.0541526216182018
"728","017","023200",30938,6455,154,154,515,63,0,12,186,58,30938,6455,154,154,0.361165048543689,59.2283715798434,0.106181512643717
"729","017","023800",30013,6041,613,613,2233,187,10,17,827,201,30013,6041,613,613,0.374832064487237,201.717624415915,0.0847056845117595
"730","017","023901",54295,7589,786,786,3300,144,80,56,388,138,54295,7589,786,786,0.141818181818182,148.929513529052,0.0447038508746797
"731","017","024108",47212,20906,816,816,2784,85,83,50,662,207,47212,20906,816,816,0.267600574712644,212.953046467995,0.0760541596524356
"732","033","002601",79375,20104,435,435,1669,138,21,23,95,55,79375,20104,435,435,0.0695026962252846,59.6154342431555,0.0352539305962039
"733","033","003804",68235,12306,508,508,2292,158,139,108,479,148,68235,12306,508,508,0.269633507853403,183.215719849581,0.0777460242439581
"734","033","003000",21435,8894,277,277,1027,109,23,31,500,134,21435,8894,277,277,0.509250243427459,137.539085353946,0.122532131635375
"735","033","003501",46625,15288,380,380,991,85,8,14,348,103,46625,15288,380,380,0.359233097880928,103.947101931704,0.10026345591779
"736","033","003601",45197,5735,345,345,1201,107,50,50,271,107,45197,5735,345,345,0.267277268942548,118.105884696742,0.0954130579151914
"737","033","003906",73212,10214,963,963,3817,163,144,123,79,79,73212,10214,963,963,0.058422845166361,146.184814532837,0.0382170051470391
"738","033","004005",66121,5978,516,516,2636,216,20,30,284,154,66121,5978,516,516,0.115326251896813,156.894869259641,0.0587650636146436
"739","033","004011",36295,7537,501,501,2649,248,131,89,531,192,36295,7537,501,501,0.249905624764062,211.624667749296,0.0763858040648079
"740","033","004301",76339,9576,756,756,2548,144,45,50,446,156,76339,9576,756,756,0.192700156985871,163.816971037802,0.0633633011662453
"741","033","000602",31314,8351,366,366,1570,87,57,44,600,123,31314,8351,366,366,0.418471337579618,130.633073913156,0.0799090975270497
"742","033","001600",53882,6146,238,238,1543,82,31,35,349,101,53882,6146,238,238,0.246273493195075,106.892469332503,0.0680282198785287
"743","033","002500",21230,4420,188,188,1373,142,206,103,333,111,21230,4420,188,188,0.392571012381646,151.426549851735,0.102543590207294
"744","033","003703",68295,9202,593,593,2246,107,128,103,325,139,68295,9202,593,593,0.201691896705254,173.002890149269,0.0764254509417891
"745","033","003907",48411,5416,544,544,2669,176,66,47,349,145,48411,5416,544,544,0.155488947171225,152.427031723379,0.0561822112927815
"746","033","003908",74120,15050,319,319,1681,112,68,59,133,54,74120,15050,319,319,0.119571683521713,79.9812478022192,0.0469078520794347
"747","033","004504",72500,10441,686,686,2230,177,68,70,211,104,72500,10441,686,686,0.125112107623318,125.363471553719,0.055332772244601
"748","033","004505",51633,10021,971,971,2660,230,108,98,444,193,51633,10021,971,971,0.207518796992481,216.455538159688,0.0793713211217812
"749","033","004507",80000,17406,668,668,2024,109,47,42,77,65,80000,17406,668,668,0.0612648221343874,77.3886296557834,0.0380928729143238
"750","033","004508",97375,20441,1171,1171,3069,143,12,19,35,52,97375,20441,1171,1171,0.0153144346692734,55.3624421426656,0.0180251258185083
"751","033","004700",49889,14708,781,781,2122,186,0,17,723,212,49889,14708,781,781,0.34071630537229,212.680511566058,0.0956735594178155
"752","033","000200",24343,7231,884,884,2403,179,156,128,822,172,24343,7231,884,884,0.406991260923845,214.401492532118,0.0839138187664242
"753","033","001102",26133,4488,367,367,1433,120,173,83,561,139,26133,4488,367,367,0.512212142358688,161.895027718581,0.104517204294844
"754","033","001700",66125,16381,671,671,2276,149,47,56,311,150,66125,16381,671,671,0.157293497363796,160.112460477003,0.0695904556994117
"755","033","002400",21326,8573,175,175,1023,125,58,56,339,110,21326,8573,175,175,0.388074291300098,123.434192993676,0.110950771570112
"756","033","003101",24833,6808,489,489,1554,96,81,65,653,120,24833,6808,489,489,0.472329472329472,136.473440639562,0.0828316949806486
"757","033","003201",47543,4358,476,476,1372,89,82,61,469,117,47543,4358,476,476,0.401603498542274,131.946959040366,0.0925755216779737
"758","033","003802",60603,5740,286,286,2545,190,10,16,233,139,60603,5740,286,286,0.0954813359528487,139.917833030676,0.0545134603833846
"759","033","003805",74800,18046,847,847,2884,181,98,82,210,111,74800,18046,847,847,0.106796116504854,138.003623140844,0.0473797290824108
"760","033","004006",85457,15341,864,864,3631,234,0,17,457,176,85457,15341,864,864,0.125860644450565,176.819116613561,0.0480168327771528
"761","033","004009",85893,13631,1108,1108,2972,258,73,84,262,161,85893,13631,1108,1108,0.112718707940781,181.59570479502,0.0603135852054541
"762","017","024301",47390,12506,750,750,2530,168,86,81,503,152,47390,12506,750,750,0.232806324110672,172.235304162648,0.0662987291729107
"763","017","024304",57457,9372,396,396,1930,209,121,101,265,106,57457,9372,396,396,0.2,146.413797164065,0.0727047695569968
"764","017","025000",27750,6761,447,447,1461,166,155,118,666,127,27750,6761,447,447,0.561943874058864,173.35801106381,0.100014360586362
"765","017","021200",32325,7043,181,181,1558,150,102,69,462,125,32325,7043,181,181,0.362002567394095,142.779550356485,0.0847567432396652
"766","017","021400",48732,6655,183,183,1010,87,97,60,216,65,48732,6655,183,183,0.30990099009901,88.4590300647707,0.0834159659045673
"767","017","021600",48899,18060,487,487,1653,183,105,96,408,155,48899,18060,487,487,0.310344827586207,182.321145235543,0.104809404040771
"768","017","022600",107375,28669,407,407,1199,105,11,16,118,57,107375,28669,407,407,0.107589658048374,59.2030404624627,0.0484697481696216
"769","017","021800",23100,4748,155,155,430,63,6,9,190,53,23100,4748,155,155,0.455813953488372,53.7587202228625,0.10568930343671
"770","017","022500",26793,6279,676,676,1771,126,67,64,567,136,26793,6279,676,676,0.357989836250706,150.306353824447,0.0809590422089412
"771","017","023000",68417,24841,451,451,2011,152,78,69,329,125,68417,24841,451,451,0.202386872202884,142.779550356485,0.069331747788775
"772","017","024109",58943,4480,516,516,1437,76,50,49,256,97,58943,4480,516,516,0.21294363256785,108.673823895177,0.0747822041788634
"773","017","024503",45799,7103,748,748,1849,114,39,37,430,150,45799,7103,748,748,0.253650621957815,154.495954639596,0.0820799297736406
"774","017","021700",20303,3278,243,243,532,64,3,6,267,85,20303,3278,243,243,0.507518796992481,85.2115015710907,0.148078925502275
"775","017","022000",19697,7329,225,225,728,73,7,11,361,99,19697,7329,225,225,0.505494505494505,99.6092365195116,0.127090573348989
"776","017","022700",75104,17876,289,289,921,85,45,38,175,69,75104,17876,289,289,0.238870792616721,78.7718223732319,0.0826385418964792
"777","017","022200",22931,3211,758,758,1980,197,61,55,782,225,22931,3211,758,758,0.425757575757576,231.624696438009,0.109043095883981
"778","017","022300",18833,5423,235,235,962,107,41,41,481,121,18833,5423,235,235,0.542619542619543,127.757582945201,0.118297787798761
"779","017","022400",23361,5677,389,389,1085,97,25,23,493,111,23361,5677,389,389,0.47741935483871,113.357840487546,0.0953612622110969
"780","017","024202",54417,13223,711,711,2694,201,150,101,434,122,54417,13223,711,711,0.216778025241277,158.382448522556,0.0565222595168922
"781","017","024800",44271,13394,78,78,407,44,19,14,133,37,44271,13394,78,78,0.373464373464373,39.560080889705,0.0884171089841498
"782","017","020600",18173,6280,78,78,367,53,43,35,261,56,18173,6280,78,78,0.828337874659401,66.0378679243962,0.134418964183405
"783","017","021000",27750,7002,213,213,811,83,73,41,218,60,27750,7002,213,213,0.35881627620222,72.6704891960967,0.0817356480217851
"784","017","021500",46528,15962,325,325,987,94,42,49,312,103,46528,15962,325,325,0.358662613981763,114.061386980871,0.110400089725897
"785","017","021900",21429,5016,101,101,538,66,22,20,267,67,21429,5016,101,101,0.537174721189591,69.9213844256534,0.112019456200416
"786","017","023300",25497,4819,338,338,995,68,25,24,418,84,25497,4819,338,338,0.445226130653266,87.3613186713662,0.0823593504344279
"787","017","024107",44833,8798,800,800,1890,93,72,41,307,105,44833,8798,800,800,0.200529100529101,112.720894247695,0.058818768900483
"788","017","024203",56504,9279,468,468,1719,148,26,32,347,147,56504,9279,468,468,0.216986620127981,150.442680114388,0.0855003682636091
"789","017","024400",47190,6068,484,484,1972,175,37,44,181,119,47190,6068,484,484,0.110547667342799,126.873953197652,0.0635853672151644
"790","017","022100",25556,8339,610,610,2444,168,33,43,1041,202,25556,8339,610,610,0.439443535188216,206.526027415433,0.0789197520982254
"791","017","023100",105179,18523,156,156,545,41,4,6,42,26,105179,18523,156,156,0.0844036697247706,26.6833281282527,0.0485467483004808
"792","017","024000",113066,12375,1583,1583,4335,146,28,32,374,149,113066,12375,1583,1583,0.0927335640138408,152.397506541282,0.0350161254001176
"793","017","024102",59814,5634,357,357,1545,127,23,28,310,89,59814,5634,357,357,0.215533980582524,93.3005894943864,0.0577313224478757
"794","017","024106",42169,3471,1123,1123,3061,187,19,32,676,221,42169,3471,1123,1123,0.227049983665469,223.304724535779,0.0716207549634953
"795","033","004205",50829,7771,488,488,2075,205,43,56,490,178,50829,7771,488,488,0.256867469879518,186.601178988773,0.0862733425385549
"796","017","020700",16941,7333,59,59,411,55,31,28,263,72,16941,7333,59,59,0.715328467153285,77.2528316633119,0.161761574118968
"797","033","004401",68095,7244,471,471,1750,127,12,19,269,114,68095,7244,471,471,0.160571428571429,115.572488075666,0.0650052256123149
"798","033","004302",67604,13104,546,546,2130,134,60,48,409,143,67604,13104,546,546,0.22018779342723,150.840975865313,0.0694493718645005
"799","033","004402",74811,13996,907,907,2401,151,15,28,274,122,74811,13996,907,907,0.12036651395252,125.171881826551,0.0515807139345093
"800","033","004602",49924,6523,754,754,2049,165,77,66,571,175,49924,6523,754,754,0.316251830161054,187.03208280934,0.0876551297289049
"801","033","004800",39722,4735,201,201,1772,142,42,42,278,80,39722,4735,201,201,0.18058690744921,90.3548559846121,0.0488936754898114
"802","033","002000",79975,21011,362,362,1471,104,35,44,200,79,79975,21011,362,362,0.159755268524813,90.4267659490264,0.0604264625526417
"803","033","002300",87586,16685,250,250,1216,90,23,35,176,74,87586,16685,250,250,0.163651315789474,81.8596359630313,0.0662201558784751
"804","033","003505",34207,6569,510,510,1356,116,25,40,396,122,34207,6569,510,510,0.31047197640118,128.390030765632,0.0908814856944356
"805","033","003506",50423,7054,916,916,2502,170,87,96,377,171,50423,7054,916,916,0.185451638689049,196.104563944851,0.0773596206665031
"806","033","004010",88583,11730,536,536,1908,104,30,27,159,53,88583,11730,536,536,0.0990566037735849,59.4810894318522,0.0307034455729543
"807","033","004201",41220,10074,694,694,2177,166,209,152,504,191,41220,10074,694,694,0.327514928801102,244.10038918445,0.109310453776116
"808","033","004203",41462,11399,233,233,1196,124,42,46,330,123,41462,11399,233,233,0.311036789297659,131.320219311422,0.104957145360803
"809","033","004204",29830,7715,665,665,1401,150,100,85,450,135,29830,7715,665,665,0.392576730906495,159.530561335438,0.105827664101585
"810","033","004603",67417,16041,550,550,1598,115,50,54,283,102,67417,16041,550,550,0.208385481852315,115.412304370028,0.0706488759151685
"811","033","004604",92578,10830,1598,1598,3880,292,54,46,375,147,92578,10830,1598,1598,0.110567010309278,154.029218007494,0.0388163857503117
"812","033","005000",99122,17021,285,285,1248,78,48,46,75,52,99122,17021,285,285,0.0985576923076923,69.4262198308391,0.0552878945051167
"813","033","000500",20082,3254,408,408,1262,110,76,53,523,128,20082,3254,408,408,0.474643423137876,138.538803228554,0.101682999059988
"814","033","001000",21544,6787,505,505,1363,126,92,78,627,128,21544,6787,505,505,0.527512839325018,149.893295380414,0.0985700592680975
"815","033","001103",27148,4358,416,416,1048,95,29,35,184,94,27148,4358,416,416,0.20324427480916,100.304536288246,0.0939204386493395
"816","033","001800",37721,8149,248,248,1205,98,115,77,333,129,37721,8149,248,248,0.371784232365145,150.233152133609,0.120952759312052
"817","033","002700",35042,12522,149,149,647,54,36,39,152,56,35042,12522,149,149,0.290571870170015,68.2422156732913,0.102648880638063
"818","033","003400",40284,11111,666,666,2248,169,14,26,755,167,40284,11111,666,666,0.342081850533808,169.011833905203,0.070648065158505
"819","033","003504",38311,4684,883,883,2016,156,123,114,414,155,38311,4684,883,883,0.266369047619048,192.408419774188,0.0931883802161853
"820","033","003603",27825,5014,279,279,1005,92,58,69,277,97,27825,5014,279,279,0.333333333333333,119.037809119624,0.114447567221783
"821","033","000100",22094,6281,329,329,565,57,61,48,167,66,22094,6281,329,329,0.40353982300885,81.6088230524127,0.138584393821188
"822","033","004900",99412,35213,398,398,1986,100,12,21,125,103,99412,35213,398,398,0.0689828801611279,105.118980208143,0.052815906686522
"823","033","000400",28432,6013,278,278,886,111,10,15,332,119,28432,6013,278,278,0.386004514672686,119.94165248153,0.126441957134314
"824","033","000601",30776,5441,287,287,958,105,92,54,303,78,30776,5441,287,287,0.41231732776618,94.8683298050514,0.0881146067521796
"825","033","003702",70607,14236,445,445,1265,95,24,39,146,68,70607,14236,445,445,0.134387351778656,78.390050389064,0.0611410651506701
"826","033","002602",69806,21270,467,467,1681,172,63,57,209,82,69806,21270,467,467,0.161808447352766,99.8649087517733,0.0570544074466492
"827","033","003801",61815,8863,696,696,3344,280,272,177,227,117,61815,8863,696,696,0.149222488038278,212.174456521043,0.062206879783477
"828","017","024104",29727,8710,891,891,2683,177,141,111,644,186,29727,8710,891,891,0.292582929556467,216.603324074216,0.0783903811002371
"829","017","023700",22541,4523,890,890,2318,170,111,110,874,204,22541,4523,890,890,0.424935289042278,231.767124502161,0.0950049787467255
"830","017","021300",24408,6620,392,392,969,114,92,65,516,118,24408,6620,392,392,0.627450980392157,134.718224453858,0.11781234768977
"831","017","023903",54375,12478,404,404,1620,153,42,45,367,121,54375,12478,404,404,0.252469135802469,129.096862858863,0.0760384962545087
"832","017","025100",40000,8293,140,140,758,90,32,19,310,70,40000,8293,140,140,0.451187335092348,72.5327512231544,0.0792883991469302
"833","017","023600",17852,7291,425,425,1101,91,92,82,366,103,17852,7291,425,425,0.415985467756585,131.654851790582,0.114527969902091
"834","005","030101",69433,6030,1185,1185,3057,198,125,97,456,163,69433,6030,1185,1185,0.190055610075237,189.678675659653,0.0608139776355852
"835","005","030102",65403,7880,733,733,1970,134,107,73,348,130,65403,7880,733,733,0.230964467005076,149.093930124603,0.0740336572720837
"836","005","030203",108468,6279,1746,1746,4031,214,68,80,269,124,108468,6279,1746,1746,0.0836020838501613,147.566933965574,0.0363379772329762
"837","005","030205",91886,11981,1712,1712,3774,212,69,87,227,144,91886,11981,1712,1712,0.0784313725490196,168.240898713719,0.0443606854618118
"838","005","030500",63378,16386,1176,1176,3207,331,123,98,462,204,63378,16386,1176,1176,0.182413470533209,226.318359838525,0.0680123325870647
"839","005","030103",83821,10781,846,846,2199,172,99,81,216,98,83821,10781,846,846,0.143246930422919,127.14165328483,0.0567219165086601
"840","005","030600",59167,7903,882,882,2088,135,65,67,359,119,59167,7903,882,882,0.203065134099617,136.565002837477,0.0640733791806026
"841","005","030900",36886,6993,556,556,1523,178,8,12,533,159,36886,6993,556,556,0.355219960604071,159.45218719102,0.096112867292465
"842","005","031000",37113,9356,771,771,2428,244,247,142,817,223,37113,9356,771,771,0.438220757825371,264.372842780797,0.0995818524544455
"843","005","030206",74256,8993,1728,1728,3643,244,120,98,430,147,74256,8993,1728,1728,0.150974471589349,176.672012497735,0.0474303669152352
"844","005","030204",86435,9052,1770,1770,4132,285,44,41,518,189,86435,9052,1770,1770,0.136011616650532,193.39596686591,0.0458546430339931
"845","005","030300",94567,10901,2009,2009,5009,308,118,99,537,249,94567,10901,2009,2009,0.130764623677381,267.958952080351,0.0528877742785614
"846","005","030402",60956,14685,1096,1096,2923,299,125,81,440,162,60956,14685,1096,1096,0.193294560383168,181.121506177483,0.0587249172734405
"847","005","030401",55000,7227,546,546,1900,163,81,73,334,123,55000,7227,546,546,0.218421052631579,143.031465069753,0.0729103206307222
"848","055","001100",26212,3160,751,751,2378,167,148,102,741,174,26212,3160,751,751,0.373843566021867,201.692835767659,0.0806505549544145
"849","055","001403",68656,14335,530,530,2065,167,18,29,110,81,68656,14335,530,530,0.0619854721549637,86.0348766489498,0.0413607091015254
"850","055","001404",92547,19347,1373,1373,3362,168,125,117,303,131,92547,19347,1373,1373,0.127305175490779,175.641680702503,0.0518544591389917
"851","055","000200",21250,5603,225,225,842,85,16,14,363,62,21250,5603,225,225,0.450118764845606,63.5609943282828,0.0602802100843115
"852","055","001001",32475,14267,681,681,1831,186,48,54,591,180,32475,14267,681,681,0.348989623156745,187.92551716039,0.0963182911246829
"853","055","001406",61185,6497,669,669,2603,215,61,76,260,153,61185,6497,669,669,0.123319247022666,170.83617883809,0.0648352632797511
"854","055","001600",102212,10751,312,312,1234,76,15,25,115,61,102212,10751,312,312,0.105348460291734,65.924198895398,0.053027714499963
"855","055","002103",34313,7214,562,562,1695,173,39,43,419,131,34313,7214,562,562,0.270206489675516,137.876756561793,0.0765254223970224
"856","055","001402",103015,15707,1234,1234,3002,197,48,72,260,119,103015,15707,1234,1234,0.102598267821452,139.086304142428,0.0458394024474194
"857","055","002001",35781,11169,708,708,1804,137,9,14,575,144,35781,11169,708,708,0.323725055432373,144.678954931255,0.0763379406462938
"858","055","002002",56345,9715,980,980,2371,209,208,110,215,108,56345,9715,980,980,0.178405735976381,154.155765380345,0.0630866257254225
"859","055","001401",90257,12599,1370,1370,3637,168,55,56,98,72,90257,12599,1370,1370,0.0420676381633214,91.214034007931,0.0250040770780895
"860","015","010701",29692,4659,413,413,1993,199,152,108,816,236,29692,4659,413,413,0.485699949824385,259.538051160133,0.120857577351017
"861","015","010804",56429,7458,1181,1181,3056,197,256,156,493,171,56429,7458,1181,1181,0.245091623036649,231.467060291524,0.074075665965783
"862","015","011108",82396,12842,2314,2314,5270,341,537,236,692,245,82396,12842,2314,2314,0.233206831119545,340.177894637497,0.0627613255381348
"863","015","010801",37151,4932,338,338,1192,131,229,106,381,130,37151,4932,338,338,0.511744966442953,167.737890770094,0.128992442268195
"864","015","010400",25579,4420,194,194,627,80,92,52,306,87,25579,4420,194,194,0.634768740031898,101.355808910984,0.139899223793358
"865","071","006900",15441,4291,126,126,302,47,22,23,158,54,15441,4291,126,126,0.596026490066225,58.6941223633168,0.170787052883149
"866","071","010000",22604,3247,155,155,765,73,35,26,282,73,22604,3247,155,155,0.41437908496732,77.4919350642375,0.0932600476741154
"867","071","010700",66875,12210,200,200,885,64,52,39,90,41,66875,12210,200,200,0.16045197740113,56.5862174031804,0.0628775654558315
"868","071","011600",164688,27670,185,185,637,53,12,14,22,19,164688,27670,185,185,0.0533751962323391,23.6008474424119,0.036782878654232
"869","071","013200",24509,4059,178,178,999,109,77,52,367,118,24509,4059,178,178,0.444444444444444,128.949602558519,0.119623329558567
"870","071","003302",63750,19763,348,348,1272,102,20,15,160,58,63750,19763,348,348,0.141509433962264,59.9082632030006,0.0457102591328106
"871","071","000200",32467,5817,111,111,487,69,64,45,192,47,32467,5817,111,111,0.525667351129363,65.0691939399898,0.110928789922736
"872","071","000605",38125,6324,289,289,784,60,16,15,317,79,38125,6324,289,289,0.424744897959184,80.4114419718985,0.0972782922059205
"873","071","000612",175000,43898,219,219,536,75,14,15,21,26,175000,43898,219,219,0.0652985074626866,30.0166620396073,0.0552508377060682
"874","071","000903",21625,10069,56,56,301,46,0,12,157,54,21625,10069,56,56,0.521594684385382,55.3172667437573,0.165591170285464
"875","071","001720",22423,5432,339,339,1289,127,93,61,415,107,22423,5432,339,339,0.394103956555469,123.166553901617,0.0873066999754568
"876","071","001734",69115,16941,74,74,353,45,0,12,55,24,69115,16941,74,74,0.155807365439093,26.8328157299975,0.0733728127909821
"877","071","002800",20094,5230,150,150,775,69,0,12,463,83,20094,5230,150,150,0.59741935483871,83.86298349093,0.094235536686269
"878","071","003307",25385,6165,113,113,662,44,66,38,240,53,25385,6165,113,113,0.462235649546828,65.2150289427215,0.0935989347634562
"879","071","003500",16250,3102,84,84,736,73,28,18,382,73,16250,3102,84,84,0.557065217391304,75.1864349467376,0.08592389470516
"880","071","004100",73421,10209,120,120,808,63,63,38,105,72,73421,10209,120,120,0.207920792079208,81.4125297481905,0.0994453291931304
"881","071","004800",8071,3309,14,14,71,50,0,12,65,50,8071,3309,14,14,0.915492957746479,51.4198405287298,0.329914842003078
"882","071","006300",25917,11481,86,86,739,58,57,35,333,74,25917,11481,86,86,0.527740189445196,81.8596359630313,0.102735624255304
"883","071","008300",61326,16294,54,54,563,66,23,22,79,39,61326,16294,54,54,0.181172291296625,44.7772263544762,0.076645016909163
"884","071","008400",38516,10047,21,21,569,57,81,39,110,44,38516,10047,21,21,0.335676625659051,58.7962583843564,0.0977081237415645
"885","071","009400",13523,8636,210,210,625,77,21,20,406,74,13523,8636,210,210,0.6832,76.6550715869472,0.0892072345627999
"886","071","009900",63935,10181,197,197,1254,133,77,46,68,66,63935,10181,197,197,0.115629984051037,80.4487414444751,0.0629706037790976
"887","071","010900",62359,13627,215,215,1334,118,67,56,205,92,62359,13627,215,215,0.203898050974513,107.70329614269,0.0786967855396166
"888","071","013000",37375,22525,150,150,697,82,28,37,199,57,37375,22525,150,150,0.325681492109039,67.955868032128,0.0896533223804179
"889","071","002503",49865,9746,263,263,788,64,12,13,146,55,49865,9746,263,263,0.200507614213198,56.5154846037792,0.0698468588256977
"890","071","006000",24570,6615,136,136,643,54,51,39,252,58,24570,6615,136,136,0.471228615863142,69.8927750200262,0.101237878998563
"891","071","004000",30060,6026,138,138,887,78,20,15,369,74,30060,6026,138,138,0.438556933483653,75.5049667240507,0.0758868052707738
"892","071","007604",163800,14460,259,259,672,48,11,10,20,15,163800,14460,259,259,0.0461309523809524,18.0277563773199,0.0266238885951998
"893","015","011107",37386,12344,316,316,739,71,98,56,252,61,37386,12344,316,316,0.47361299052774,82.8070045346407,0.102397883302631
"894","015","010702",41925,8349,537,537,1655,155,108,81,466,157,41925,8349,537,537,0.346827794561934,176.663521984591,0.101683144034666
"895","015","011106",45765,6969,1191,1191,3432,305,299,154,953,244,45765,6969,1191,1191,0.364801864801865,288.534226739221,0.0775694415631014
"896","015","011300",22531,8355,265,265,687,82,117,60,346,81,22531,8355,265,265,0.673944687045124,100.801785698469,0.122711390680058
"897","015","010601",31493,5640,1047,1047,2925,173,502,195,1044,235,31493,5640,1047,1047,0.528547008547009,305.368629692049,0.0996092747962949
"898","015","010900",55208,11835,541,541,892,76,140,103,39,42,55208,11835,541,541,0.20067264573991,111.233987611701,0.123524101275368
"899","015","011105",51536,14613,810,810,2762,176,102,88,582,155,51536,14613,810,810,0.247646632874728,178.238604123798,0.0625732458792453
"900","015","010500",41307,7034,626,626,1851,138,269,123,402,102,41307,7034,626,626,0.362506753106429,159.790487827029,0.0819868837540769
"901","015","011103",67332,8049,892,892,2663,215,94,66,409,156,67332,8049,892,892,0.188884716485167,169.387130561917,0.0617525286911245
"902","015","011200",41573,7331,508,508,2094,196,63,45,890,205,41573,7331,508,508,0.455109837631328,209.880918618154,0.0907267468960988
"903","023","970100",61696,10939,645,645,1995,132,92,72,569,129,61696,10939,645,645,0.331328320802005,147.732867026942,0.0707321636230904
"904","037","951300",43563,8775,301,301,1176,132,26,22,637,128,43563,8775,301,301,0.563775510204082,129.876864760434,0.0905119336709087
"905","037","951600",50304,13207,626,626,2009,178,107,61,713,135,50304,13207,626,626,0.408163265306122,148.141823939089,0.0642622194834254
"906","037","951400",40694,11242,370,370,1246,147,46,46,517,128,40694,11242,370,370,0.451845906902087,136.014705087354,0.0952598253718125
"907","095","070400",70639,7866,478,478,1468,127,31,46,215,77,70639,7866,478,478,0.167574931880109,89.6939239859646,0.0593545766347901
"908","095","070900",37578,8945,438,438,999,121,33,48,290,94,37578,8945,438,438,0.323323323323323,105.54619841567,0.0981259769207304
"909","095","071000",43355,9231,391,391,926,111,69,57,151,84,43355,9231,391,391,0.237580993520518,101.513545894132,0.105862077954201
"910","095","070500",52402,10506,906,906,2058,166,126,83,577,175,52402,10506,906,906,0.341593780369291,193.685311781766,0.0899896941431887
"911","095","070600",44469,11844,349,349,881,113,87,67,247,112,44469,11844,349,349,0.379114642451759,130.510535973154,0.139930882262639
"912","095","070200",66120,7806,986,986,2385,226,49,52,498,255,66120,7806,986,986,0.229350104821803,260.247958685558,0.10693248335957
"913","095","071100",42500,16729,441,441,1216,183,21,25,522,170,42500,16729,441,441,0.446546052631579,171.828402774396,0.124303320364998
"914","095","070300",62962,6820,681,681,2063,183,165,117,209,101,62962,6820,681,681,0.181289384391663,154.56390264224,0.0731756850714516
"915","095","070800",32083,16817,210,210,782,113,34,32,335,86,32083,16817,210,210,0.471867007672634,91.7605579756357,0.0954967653704267
"916","095","070100",78103,9890,335,335,944,75,31,28,174,58,78103,9890,335,335,0.217161016949153,64.4049687524185,0.0660080138883816
"917","095","070700",49952,7619,597,597,1699,101,86,45,607,144,49952,7619,597,597,0.40788699234844,150.867491528162,0.0854231157497696
"918","075","050200",64906,15444,1293,1293,3217,219,21,26,461,177,64906,15444,1293,1293,0.149829033260802,178.89941307897,0.0546672486269001
"919","075","050300",49417,7889,909,909,1892,183,40,46,176,95,49417,7889,909,909,0.114164904862579,105.55093557141,0.0546842681604665
"920","075","050800",33421,10831,101,101,404,72,11,9,176,73,33421,10831,101,101,0.462871287128713,73.5527021937332,0.162300168001028
"921","075","050100",36635,24039,227,227,511,104,0,12,232,78,36635,24039,227,227,0.454011741682975,78.9176786277954,0.12374552371291
"922","075","050400",32395,12829,413,413,1216,156,32,49,229,114,32395,12829,413,413,0.214638157894737,124.084648526721,0.098257891173643
"923","075","050600",26897,7420,115,115,474,83,18,21,208,69,26897,7420,115,115,0.476793248945148,72.1248916810278,0.127212062265556
"924","071","009000",121528,38910,135,135,995,102,36,30,131,74,121528,38910,135,135,0.167839195979899,79.8498591107085,0.0783849975304268
"925","071","009600",61023,16928,123,123,639,62,39,34,117,39,61023,16928,123,123,0.244131455399061,51.7397332811061,0.0774275839913431
"926","071","010100",64556,12544,107,107,850,112,24,26,91,58,64556,12544,107,107,0.135294117647059,63.5609943282828,0.072621580420979
"927","071","010600",59242,9210,92,92,676,58,36,23,95,47,59242,9210,92,92,0.193786982248521,52.3259018078045,0.0755983794487033
"928","071","011500",93125,15891,97,97,614,52,6,9,60,30,93125,15891,97,97,0.107491856677524,31.3209195267317,0.0501923808542397
"929","071","012102",59141,8994,56,56,401,48,28,27,33,30,59141,8994,56,56,0.15211970074813,40.3608721412211,0.0989897574886616
"930","071","012500",55625,7339,118,118,825,69,38,28,133,52,55625,7339,118,118,0.207272727272727,59.0592922409336,0.069456322328471
"931","071","012700",52798,16202,242,242,1009,94,47,50,143,84,52798,16202,242,242,0.188305252725471,97.7547952787995,0.0952813540178588
