"","GEOID11","GEOID2","Geography","response2000","response2010"
"128","22073000401 ","22","Tract ",0.69,0.71
"129","22051021400 ","22","Tract ",0.87,0.83
"130","22071009700 ","22","Tract ",0.53,0.54
"131","22033002200 ","22","Tract ",0.65,0.61
"132","22113951100 ","22","Tract ",0.44,0.74
"133","22071002200 ","22","Tract ",0.59,0.27
"134","22087030700 ","22","Tract ",0.72,0.51
"135","22017021900 ","22","Tract ",0.73,0.72
"136","22019000400 ","22","Tract ",0.59,0.61
"137","22033001200 ","22","Tract ",0.66,0.68
"138","22071000904 ","22","Tract ",0.6,0.24
"139","22071007800 ","22","Tract ",0.39,0.45
"140","22071003000 ","22","Tract ",0.56,0.32
"141","22071010600 ","22","Tract ",0.63,0.61
"142","22071009600 ","22","Tract ",0.59,0.56
"143","22093040500 ","22","Tract ",0.59,0.55
"144","22071002900 ","22","Tract ",0.53,0.28
"145","22071011900 ","22","Tract ",0.69,0.64
"146","22049970500 ","22","Tract ",0.75,0.62
"147","22017024700 ","22","Tract ",0.84,0.77
"148","22051024700 ","22","Tract ",0.74,0.76
"149","22101041300 ","22","Tract ",999,0.73
"150","22019000300 ","22","Tract ",0.63,0.62
"151","22019000200 ","22","Tract ",0.64,0.66
"152","22071012400 ","22","Tract ",0.69,0.53
"153","22071001739 ","22","Tract ",0.69,0.53
"154","22057020600 ","22","Tract ",0.85,0.78
"155","22099021000 ","22","Tract ",0.36,0.69
"156","22101041500 ","22","Tract ",999,0.73
"157","22071002401 ","22","Tract ",0.65,0.56
"158","22071002000 ","22","Tract ",0.54,0.31
"159","22087030300 ","22","Tract ",0.7,0.43
"160","22073000700 ","22","Tract ",0.65,0.65
"161","22119031100 ","22","Tract ",0.73,0.77
"162","22051021100 ","22","Tract ",0.76,0.74
"163","22071004100 ","22","Tract ",0.62,0.6
"164","22019001500 ","22","Tract ",0.54,0.66
"165","22017023100 ","22","Tract ",0.79,0.84
"166","22071012900 ","22","Tract ",0.62,0.57
"167","22079012900 ","22","Tract ",0.69,0.69
"168","22071002503 ","22","Tract ",0.72,0.56
"169","22075050100 ","22","Tract ",0.59,0.52
"170","22055001408 ","22","Tract ",0.72,0.74
"171","22085980300 ","22","Tract ",0.55,0.51
"172","22071003500 ","22","Tract ",0.58,0.36
"173","22057020900 ","22","Tract ",0.53,0.69
"174","22065960100 ","22","Tract ",0.65,0.51
"175","22071013100 ","22","Tract ",0.5,0.35
"176","22073010604 ","22","Tract ",0.69,0.69
"177","22079010400 ","22","Tract ",0.79,0.8
"178","22103040601 ","22","Tract ",0.85,0.82
"179","22101041600 ","22","Tract ",999,0.58
"180","22089062200 ","22","Tract ",0.63,0.79
"181","22015011300 ","22","Tract ",0.64,0.57
"182","22065960500 ","22","Tract ",0.76,0.59
"183","22071003900 ","22","Tract ",0.43,0.32
"184","22101041200 ","22","Tract ",0.28,0.56
"185","22051026700 ","22","Tract ",0.74,0.69
"186","22071004800 ","22","Tract ",0.39,0.27
"187","22079012600 ","22","Tract ",0.77,0.73
"188","22073005400 ","22","Tract ",0.74,0.76
"189","22051022302 ","22","Tract ",0.82,0.73
"190","22039950200 ","22","Tract ",0.57,0.52
"191","22051023903 ","22","Tract ",0.88,0.83
"192","22079011100 ","22","Tract ",0.65,0.68
"193","22079011300 ","22","Tract ",0.75,0.75
"194","22051023902 ","22","Tract ",0.91,0.81
"195","22071002501 ","22","Tract ",0.67,0.43
"196","22071002800 ","22","Tract ",0.51,0.37
"197","22051024500 ","22","Tract ",0.78,0.73
"198","22071009200 ","22","Tract ",0.49,0.28
"199","22071009400 ","22","Tract ",0.44,0.2
"200","22071013000 ","22","Tract ",0.68,0.48
"201","22047953000 ","22","Tract ",0.64,0.73
"202","22071001730 ","22","Tract ",0.62,0.19
"203","22079012000 ","22","Tract ",0.63,0.66
"204","22097961000 ","22","Tract ",0.78,0.76
"205","22051025800 ","22","Tract ",0.65,0.64
"206","22017022000 ","22","Tract ",0.76,0.77
"207","22033001500 ","22","Tract ",0.57,0.62
"208","22071003600 ","22","Tract ",0.58,0.41
"209","22033000701 ","22","Tract ",0.6,0.59
"210","22017020500 ","22","Tract ",0.69,0.79
"211","22095070800 ","22","Tract ",0.45,0.47
"212","22071008101 ","22","Tract ",0.53,0.45
"213","22071012500 ","22","Tract ",0.72,0.59
"214","22051026600 ","22","Tract ",0.76,0.7
"215","22071012101 ","22","Tract ",0.69,0.61
"216","22071002700 ","22","Tract ",0.49,0.29
"217","22071012200 ","22","Tract ",0.73,0.63
"218","22051023700 ","22","Tract ",0.58,0.62
"219","22071000605 ","22","Tract ",0.69,0.56
"220","22071003400 ","22","Tract ",0.49,0.34
"221","22019003102 ","22","Tract ",0.86,0.77
"222","22101041100 ","22","Tract ",0.55,0.64
"223","22057020400 ","22","Tract ",0.67,0.65
"224","22071001701 ","22","Tract ",0.79,0.47
"225","22051024900 ","22","Tract ",0.66,0.63
"226","22119031800 ","22","Tract ",0.78,0.76
"227","22071008800 ","22","Tract ",0.6,0.56
"228","22071000603 ","22","Tract ",0.39,0.17
"229","22051026500 ","22","Tract ",0.82,0.83
"230","22071006300 ","22","Tract ",0.6,0.31
"231","22087030104 ","22","Tract ",0.53,0.44
"232","22071005601 ","22","Tract ",0.79,0.55
"233","22071013302 ","22","Tract ",0.79,0.65
"234","22017021400 ","22","Tract ",0.74,0.75
"235","22051024001 ","22","Tract ",0.89,0.81
"236","22071011100 ","22","Tract ",0.58,0.39
"237","22047953102 ","22","Tract ",0.63,0.65
"238","22017021000 ","22","Tract ",0.64,0.65
"239","22035990300 ","22","Tract ",0.53,0.71
"240","22071005602 ","22","Tract ",0.83,0.62
"241","22027950200 ","22","Tract ",0.64,0.82
"242","22071001800 ","22","Tract ",0.54,0.56
"243","22071000800 ","22","Tract ",0.59,0.3
"244","22083970200 ","22","Tract ",0.64,0.63
"245","22051026000 ","22","Tract ",0.71,0.75
"246","22071003301 ","22","Tract ",0.85,0.38
"247","22067950100 ","22","Tract ",0.6,0.57
"248","22071004401 ","22","Tract ",0.45,0.25
"249","22071012300 ","22","Tract ",0.67,0.52
"250","22073005600 ","22","Tract ",0.61,0.67
"251","22095070100 ","22","Tract ",0.84,0.73
"252","22019002900 ","22","Tract ",0.76,0.7
"253","22055001600 ","22","Tract ",0.91,0.85
"254","22051025300 ","22","Tract ",0.77,0.72
"255","22053980700 ","22","Tract ",0.76,0.78
"256","22087030603 ","22","Tract ",0.57,0.21
"257","22089062900 ","22","Tract ",0.74,0.67
"258","22071003304 ","22","Tract ",0.76,0.38
"259","22017022700 ","22","Tract ",0.86,0.79
"260","22051026800 ","22","Tract ",0.6,0.61
"261","22095070900 ","22","Tract ",0.62,0.64
"262","22071000602 ","22","Tract ",0.58,0.55
"263","22051021000 ","22","Tract ",0.76,0.72
"264","22017023300 ","22","Tract ",0.66,0.62
"265","22031950500 ","22","Tract ",0.68,0.47
"266","22045030800 ","22","Tract ",0.58,0.57
"267","22051021801 ","22","Tract ",0.76,0.75
"268","22071012600 ","22","Tract ",0.58,0.56
"269","22055000200 ","22","Tract ",0.67,0.59
"270","22071003303 ","22","Tract ",0.56,0.37
"271","22071011400 ","22","Tract ",0.7,0.7
"272","22019003200 ","22","Tract ",0.72,0.69
"273","22071001900 ","22","Tract ",0.55,0.38
"274","22017025100 ","22","Tract ",0.71,0.58
"275","22055000100 ","22","Tract ",0.62,0.62
"276","22057021300 ","22","Tract ",0.59,0.61
"277","22071000400 ","22","Tract ",0.51,0.44
"278","22071001401 ","22","Tract ",0.57,0.3
"279","22071003701 ","22","Tract ",0.73,0.6
"280","22065960300 ","22","Tract ",0.56,0.53
"281","22087030208 ","22","Tract ",0.71,0.5
"282","22051021300 ","22","Tract ",0.85,0.81
"283","22083970400 ","22","Tract ",0.65,0.67
"284","22013970200 ","22","Tract ",0.57,0.51
"285","22051021200 ","22","Tract ",0.8,0.75
"286","22071012800 ","22","Tract ",0.7,0.59
"287","22079011600 ","22","Tract ",0.8,0.72
"288","22025980200 ","22","Tract ",0.6,0.66
"289","22071010700 ","22","Tract ",0.63,0.58
"290","22073010700 ","22","Tract ",0.65,0.72
"291","22073005100 ","22","Tract ",0.68,0.78
"292","22019002300 ","22","Tract ",0.73,0.72
"293","22051025500 ","22","Tract ",0.62,0.62
"294","22071002502 ","22","Tract ",0.73,0.41
"295","22071001736 ","22","Tract ",0.64,0.29
"296","22073000402 ","22","Tract ",0.63,0.61
"297","22027950300 ","22","Tract ",0.64,0.8
"298","22051023901 ","22","Tract ",0.89,0.82
"299","22051022200 ","22","Tract ",0.85,0.8
"300","22079012700 ","22","Tract ",0.69,0.75
"301","22123980300 ","22","Tract ",0.6,0.88
"302","22051022002 ","22","Tract ",0.9,0.85
"303","22009030200 ","22","Tract ",0.75,0.7
"304","22057021000 ","22","Tract ",0.7,0.8
"305","22071010200 ","22","Tract ",0.48,0.31
"306","22051023100 ","22","Tract ",0.75,0.7
"307","22095070600 ","22","Tract ",0.52,0.56
"308","22071010000 ","22","Tract ",0.57,0.31
"309","22051023003 ","22","Tract ",0.9,0.83
"310","22071002504 ","22","Tract ",0.76,0.59
"311","22103041002 ","22","Tract ",0.83,0.77
"312","22069990100 ","22","Tract ",0.52,0.58
"313","22033000400 ","22","Tract ",0.63,0.65
"314","22017021300 ","22","Tract ",0.68,0.64
"315","22109001201 ","22","Tract ",0.8,0.69
"316","22017021500 ","22","Tract ",0.77,0.78
"317","22127960400 ","22","Tract ",0.59,0.49
"318","22041950600 ","22","Tract ",0.54,0.56
"319","22051020201 ","22","Tract ",0.69,0.73
"320","22033003501 ","22","Tract ",0.69,0.7
"321","22079011000 ","22","Tract ",0.6,0.6
"322","22051027811 ","22","Tract ",0.73,0.71
"323","22033003908 ","22","Tract ",0.87,0.82
"324","22071008400 ","22","Tract ",0.5,0.32
"325","22051027810 ","22","Tract ",0.79,0.76
"326","22093040400 ","22","Tract ",0.56,0.42
"327","22055000700 ","22","Tract ",0.53,0.58
"328","22071009000 ","22","Tract ",0.6,0.63
"329","22093040600 ","22","Tract ",0.53,0.54
"330","22079013100 ","22","Tract ",0.67,0.7
"331","22067950300 ","22","Tract ",0.75,0.78
"332","22101040100 ","22","Tract ",999,0.48
"333","22099020800 ","22","Tract ",0.69,0.72
"334","22051026300 ","22","Tract ",0.8,0.7
"335","22089062500 ","22","Tract ",0.72,0.72
"336","22047952600 ","22","Tract ",0.59,0.59
"337","22019002100 ","22","Tract ",0.65,0.61
"338","22107980300 ","22","Tract ",0.57,0.48
"339","22097960400 ","22","Tract ",0.49,0.43
"340","22043020300 ","22","Tract ",0.6,0.68
"341","22043020100 ","22","Tract ",0.6,0.59
"342","22051025002 ","22","Tract ",0.76,0.69
"343","22065960200 ","22","Tract ",0.51,0.49
"344","22087030602 ","22","Tract ",0.79,0.45
"345","22079011700 ","22","Tract ",0.62,0.61
"346","22035990100 ","22","Tract ",0.59,0.77
"347","22077952000 ","22","Tract ",0.43,0.32
"348","22071001703 ","22","Tract ",0.53,0.24
"349","22071007200 ","22","Tract ",0.54,0.35
"350","22079013400 ","22","Tract ",0.71,0.69
"351","22071000702 ","22","Tract ",0.64,0.26
"352","22105953200 ","22","Tract ",0.6,0.59
"353","22071008200 ","22","Tract ",0.5,0.48
"354","22033001103 ","22","Tract ",0.63,0.64
"355","22017024109 ","22","Tract ",0.89,0.79
"356","22079013600 ","22","Tract ",0.64,0.58
"357","22033003603 ","22","Tract ",0.72,0.62
"358","22033004203 ","22","Tract ",0.57,0.69
"359","22071004000 ","22","Tract ",0.43,0.38
"360","22083970100 ","22","Tract ",0.62,0.79
"361","22103041202 ","22","Tract ",0.61,0.57
"362","22045031400 ","22","Tract ",0.64,0.75
"363","22003950300 ","22","Tract ",0.48,0.51
"364","22103040602 ","22","Tract ",0.76,0.79
"365","22071012700 ","22","Tract ",0.69,0.59
"366","22019001901 ","22","Tract ",0.8,0.8
"367","22051023400 ","22","Tract ",0.82,0.81
"368","22027950500 ","22","Tract ",0.6,0.66
"369","22071002300 ","22","Tract ",0.58,0.36
"370","22009030800 ","22","Tract ",0.72,0.53
"371","22051020514 ","22","Tract ",0.8,0.86
"372","22051023200 ","22","Tract ",0.75,0.74
"373","22071010100 ","22","Tract ",0.59,0.55
"374","22007050500 ","22","Tract ",0.57,0.54
"375","22003950200 ","22","Tract ",0.56,0.57
"376","22071005400 ","22","Tract ",0.61,0.54
"377","22079013000 ","22","Tract ",0.72,0.76
"378","22017023600 ","22","Tract ",0.76,0.78
"379","22051027502 ","22","Tract ",0.7,0.8
"380","22033001900 ","22","Tract ",0.79,0.76
"381","22051020400 ","22","Tract ",0.92,0.86
"382","22095071000 ","22","Tract ",0.6,0.64
"383","22071007501 ","22","Tract ",0.63,0.39
"384","22071001402 ","22","Tract ",0.59,0.32
"385","22031950300 ","22","Tract ",0.63,0.58
"386","22061960900 ","22","Tract ",0.61,0.62
"387","22071000611 ","22","Tract ",0.59,0.51
"388","22071001702 ","22","Tract ",0.76,0.54
"389","22051025201 ","22","Tract ",0.62,0.59
"390","22073010601 ","22","Tract ",0.64,0.69
"391","22101040900 ","22","Tract ",0.5,0.57
"392","22033005000 ","22","Tract ",0.9,0.84
"393","22119031700 ","22","Tract ",0.63,0.69
"394","22071013200 ","22","Tract ",0.63,0.51
"395","22051020301 ","22","Tract ",0.89,0.84
"396","22071011700 ","22","Tract ",0.67,0.74
"397","22113950600 ","22","Tract ",0.73,0.82
"398","22051022600 ","22","Tract ",0.82,0.78
"399","22007050400 ","22","Tract ",0.67,0.52
"400","22051024002 ","22","Tract ",0.86,0.82
"401","22071002600 ","22","Tract ",0.47,0.41
"402","22083970300 ","22","Tract ",0.68,0.58
"403","22071001200 ","22","Tract ",0.56,0.48
"404","22051027703 ","22","Tract ",0.72,0.65
"405","22073001100 ","22","Tract ",0.66,0.69
"406","22001960300 ","22","Tract ",0.71,0.69
"407","22017022300 ","22","Tract ",0.67,0.64
"408","22013970400 ","22","Tract ",0.54,0.54
"409","22033001800 ","22","Tract ",0.74,0.69
"410","22051025104 ","22","Tract ",0.74,0.6
"411","22071001301 ","22","Tract ",0.52,0.37
"412","22011960400 ","22","Tract ",0.65,0.7
"413","22033000601 ","22","Tract ",0.61,0.65
"414","22051022301 ","22","Tract ",0.82,0.79
"415","22031950400 ","22","Tract ",0.73,0.49
"416","22057020702 ","22","Tract ",0.65,0.75
"417","22093040100 ","22","Tract ",0.66,0.62
"418","22103041103 ","22","Tract ",0.61,0.65
"419","22109000201 ","22","Tract ",0.67,0.73
"420","22051020512 ","22","Tract ",0.74,0.78
"421","22001961200 ","22","Tract ",0.78,0.81
"422","22071007100 ","22","Tract ",0.46,0.32
"423","22009030900 ","22","Tract ",0.61,0.49
"424","22055000800 ","22","Tract ",0.61,0.63
"425","22121020200 ","22","Tract ",0.57,0.58
"426","22071010300 ","22","Tract ",0.58,0.35
"427","22087030203 ","22","Tract ",0.73,0.54
"428","22097960100 ","22","Tract ",0.51,0.41
"429","22033003201 ","22","Tract ",0.73,0.78
"430","22071003302 ","22","Tract ",0.8,0.55
"431","22055000500 ","22","Tract ",0.78,0.68
"432","22119031200 ","22","Tract ",0.72,0.59
"433","22019002500 ","22","Tract ",0.79,0.73
"434","22073005900 ","22","Tract ",0.6,0.67
"435","22033003000 ","22","Tract ",0.53,0.6
"436","22073005201 ","22","Tract ",0.74,0.78
"437","22051025103 ","22","Tract ",0.76,0.71
"438","22031950600 ","22","Tract ",0.66,0.53
"439","22093040200 ","22","Tract ",0.62,0.54
"440","22093040700 ","22","Tract ",0.76,0.69
"441","22025980300 ","22","Tract ",0.46,0.73
"442","22087030207 ","22","Tract ",0.81,0.46
"443","22033002300 ","22","Tract ",0.82,0.76
"444","22119031600 ","22","Tract ",0.75,0.78
