"","Year","CTYNAME","White","Black","AI","Asian","Hawaiian","Two","Hispanic","Pop"
"183","2000","Terrebonne Parish",76980,18559,5538,846,14,1202,1633,104772
"184","2000","Union Parish",15784,6356,39,60,11,86,462,22798
"185","2000","Vermilion Parish",44325,7575,158,970,4,324,748,54104
"186","2000","Vernon Parish",37673,8833,725,800,153,1243,3112,52539
"187","2000","Washington Parish",29434,13809,102,72,1,191,334,43943
"188","2000","Webster Parish",27237,13670,133,86,15,294,379,41814
"189","2000","West Baton Rouge Parish",13408,7673,45,41,4,121,312,21604
"190","2000","West Carroll Parish",9749,2315,35,16,0,34,166,12315
"191","2000","West Feliciana Parish",7271,7572,31,25,3,51,157,15110
"192","2000","Winn Parish",11108,5398,81,27,9,119,147,16889
