"","GEOID","tract","t4less","t4lessmoeagg"
"134","22071010200","010200",55,37.9473319220206
"135","22071010300","010300",236,101.788997440784
"136","22071010600","010600",73,44.2944691807002
"137","22071010700","010700",132,57.6281181368956
"138","22071010800","010800",129,58.7962583843564
"139","22071010900","010900",86,67.0671305484289
"140","22071011100","011100",129,70.2139587261678
"141","22071011200","011200",66,26.1725046566048
"142","22071011400","011400",160,73.9256383131049
"143","22071011500","011500",24,20.2484567313166
"144","22071011600","011600",74,33.9705755029261
"145","22071011700","011700",295,179.28747864812
"146","22071011900","011900",93,55.8032257132148
"147","22071012000","012000",23,16.4012194668567
"148","22071012101","012101",45,24.2074368738204
"149","22071012102","012102",12,15.6204993518133
"150","22071012200","012200",163,49.7393204617835
"151","22071012300","012300",118,67.0820393249937
"152","22071012400","012400",69,45.8802789878178
"153","22071012500","012500",78,41.2310562561766
"154","22071012600","012600",87,36.8781778291715
"155","22071012700","012700",131,90.2551937563706
"156","22071012800","012800",111,39.6988664825584
"157","22071012900","012900",82,50.4479930225178
"158","22071013000","013000",192,97.0618359603815
"159","22071013100","013100",118,53.4134814442946
"160","22071013200","013200",88,58.6003412959344
"161","22071013301","013301",252,76.0065786626395
"162","22071013302","013302",72,50.7740090991444
"163","22071013400","013400",50,34.4818792991333
"164","22071013500","013500",10,21.6333076527839
"165","22071013600","013600",27,25.298221281347
"166","22071013700","013700",181,97.9897953870708
"167","22071013800","013800",272,119.970829787911
"168","22071013900","013900",65,51.0783711564885
"169","22071014000","014000",281,128.015624046442
"170","22071014100","014100",32,34.828149534536
"171","22071014200","014200",93,48.7544869729956
"172","22071014300","014300",223,103.711137299713
"173","22071014400","014400",86,44.5982062419555
"174","22071014500","014500",0,16.9705627484771
"175","22071000071","000071",23322,38.0525951808809
"176","22071000001","000001",19853515,5084.48237286747
"177","22071980000","980000",0,16.9705627484771
"178","22071980100","980100",0,16.9705627484771
"179","22071990000","990000",0,16.9705627484771
