"","GEOID","tract","engnotwellpct","engnotwellMOEprop"
"1","22071000100","000100",0,0.0178204755193593
"2","22071000200","000200",0,0.0330318409058202
"3","22071000300","000300",0,0.0390225022287901
"4","22071000400","000400",0.00316122233930453,0.0242302134218657
"5","22071000601","000601",0,0.0509603071869397
"6","22071000602","000602",0.008302200083022,0.0192732094587473
"7","22071000603","000603",0.0862445414847162,0.0742465151265434
"8","22071000604","000604",0.00939199209095403,0.0154927386713988
"9","22071000605","000605",0,0.0221418771579271
"10","22071000606","000606",0.0278984678710268,0.0355383677111553
"11","22071000607","000607",0.0277056277056277,0.0273869852873998
"12","22071000611","000611",0.0568204714890187,0.0307162060605017
"13","22071000612","000612",0.0124040165386887,0.0274844458763076
"14","22071000613","000613",0.00166320166320166,0.0140585245496905
"15","22071000615","000615",0.0212910532276331,0.0185495422663434
"16","22071000616","000616",0.00988142292490119,0.0127524589430876
"17","22071000617","000617",0.0137728606909009,0.0206964658650374
"18","22071000618","000618",0.0160505836575875,0.0173238744555693
"19","22071000701","000701",0.00224719101123596,0.050646695320285
"20","22071000702","000702",0,0.0269112913459693
"21","22071000800","000800",0.00245549416820135,0.0278941950823643
"22","22071000901","000901",0,0.051986353640368
"23","22071000902","000902",0,0.0765663923467694
"24","22071000903","000903",0,0.0769466889974983
"25","22071000904","000904",0,0.0504623237290869
"26","22071001100","001100",0,0.0256630591686853
"27","22071001200","001200",0.0304396843291995,0.0377706294735776
"28","22071001301","001301",0.00165745856353591,0.0250263082517977
"29","22071001302","001302",0.00735970561177553,0.0427384595788899
"30","22071001401","001401",0.00517368810051737,0.033989306398616
"31","22071001402","001402",0.0106553010122536,0.024180932260409
"32","22071001500","001500",0.0115830115830116,0.0608690938325676
"33","22071001600","001600",NA,NA
"34","22071001701","001701",0.00607760635811127,0.0227824018522316
"35","22071001702","001702",0.0198503091441588,0.0219609151705546
"36","22071001720","001720",0.00721311475409836,0.0188490900288889
"37","22071001722","001722",0.005,0.0133848994348041
"38","22071001723","001723",0.0136923779096303,0.0193273154321851
"39","22071001724","001724",0.00369244135534318,0.012097370744907
"40","22071001725","001725",0.0132263337791648,0.0216887748703114
"41","22071001730","001730",0.0177453027139875,0.0479486787745373
"42","22071001734","001734",0,0.053054566386403
"43","22071001735","001735",0,0.0221418771579271
"44","22071001736","001736",0,0.0232728092911813
"45","22071001737","001737",0,0.0154199735084569
