"","name.y","tract","blackpct2018","blackMOEprop2018","hisppct2018","hispMOEprop2018","asianpct2018","asianMOEprop2018","nativepct2018","nativeMOEprop2018"
"1","Acadia","960800",0.0840759744351427,0.034666004637435,0.066025641025641,0.083974358974359,0.0238095238095238,0.0415614464246462,0,0.85
"2","Acadia","961100",0.0120622918354487,0.00943887516812164,0.00128205128205128,0.00256410256410256,0,0.285714285714286,0,0.6
"3","Acadia","960700",0.186335403726708,0.0384065025010579,0.0333333333333333,0.0346153846153846,0,0.285714285714286,0,0.6
"4","Acadia","961000",0.0899270861463678,0.0205566060480811,0.456410256410256,0.183333333333333,0.380952380952381,0.553306568216869,0,0.85
"5","Acadia","961200",0.0141326852101899,0.0143911000112986,0,0.00769230769230769,0.19047619047619,0.33249157139717,0.4,0.663400331624879
"6","Acadia","960300",0.0015302907552435,0.00188931980858884,0.0512820512820513,0.0692307692307692,0,0.285714285714286,0,0.6
"7","Acadia","960600",0.111891259339274,0.0278913776275836,0.00192307692307692,0.00448717948717949,0,0.404761904761905,0,0.85
"8","Acadia","960900",0.277252678008822,0.0389772170915837,0.0198717948717949,0.033974358974359,0,0.404761904761905,0,0.85
"9","Acadia","960100",0.135655774597173,0.0347553721303292,0.216666666666667,0.183974358974359,0,0.404761904761905,0,0.85
"10","Acadia","960200",0.0142227023134396,0.0113271858226494,0.00641025641025641,0.0467948717948718,0,0.404761904761905,0,0.85
"11","Acadia","960400",0.0143127194166892,0.00952378830156109,0.108333333333333,0.100641025641026,0.404761904761905,0.507091475466836,0.6,0.249198715887542
"12","Acadia","960500",0.0586011342155009,0.0193856919745441,0.0384615384615385,0.0461538461538462,0,0.404761904761905,0,0.85
"13","Allen","950100",0.00313414124529879,0.00354560558539448,0.0971390552228876,0.123350683594457,0.0479041916167665,0.0649600676900412,0.00646551724137931,0.0106993360603002
"14","Allen","950400",0.153990806519014,0.041097960305901,0.0279441117764471,0.0225089964390969,0.0359281437125748,0.0593195423708793,0.252155172413793,0.17399383757859
"15","Allen","950500",0.423735896364396,0.0717187945469988,0.0751829673985363,0.0415851653900973,0.221556886227545,0.264703016193572,0.644396551724138,0.11576606677395
"16","Allen","950300",0.22461345591308,0.0670179587443604,0.0978043912175649,0.0673612553624466,0.455089820359281,0.182210940610524,0.0323275862068966,0.0773209817620112
"17","Allen","950200",0.194525699958211,0.0638293562334228,0.701929474384564,0.203573043111406,0.239520958083832,0.183702318234613,0.0646551724137931,0.0677635702170269
"18","Ascension","030203",0.0225555344598443,0.0209865473258788,0.0519460851128275,0.0342268665757989,0.41608118657299,0.121838943832277,0,0.404255319148936
"19","Ascension","030401",0.0611353711790393,0.0114959826695002,0.0354384370740572,0.025594426775708,0,0.00936768149882904,0.0638297872340425,0.13758085416265
"20","Ascension","030402",0.150370229732295,0.0235224203180039,0.117370892018779,0.0581553839164016,0.131928181108509,0.0955921472060567,0,0.361702127659574
"21","Ascension","030205",0.0635655971141067,0.0135597349852282,0.0772376192639709,0.0274117825230956,0.139734582357533,0.1232633197738,0,0.404255319148936
"22","Ascension","030500",0.00767040060755648,0.00873025376458234,0.0879903074360139,0.0474026957443586,0.0499609679937549,0.0594652840467017,0,0.361702127659574
"23","Ascension","030102",0.0099867097019176,0.0089938847074868,0.0265031046494018,0.0228683931546267,0,0.0132708821233411,0.170212765957447,0.231017894060806
"24","Ascension","030101",0.0451870134801595,0.00938485282539394,0.061941541723459,0.0387702559442678,0.00702576112412178,0.0132133824180336,0.191489361702128,0.217310339574213
"25","Ascension","030206",0.058629200683501,0.013696935596465,0.241102529153415,0.0978343177343632,0,0.014832162373146,0.340425531914894,0.561142067071481
"26","Ascension","031000",0.175697740649326,0.0229556129849899,0.0162047554142057,0.012267151294866,0.0117096018735363,0.0194073252658134,0.234042553191489,0.370588756816492
"27","Ascension","030103",0.00702487184355421,0.00998423739998977,0.0689080720884446,0.0561865818567318,0,0.0132708821233411,0,0.361702127659574
"28","Ascension","030300",0.145699639263338,0.0352419965162734,0.061941541723459,0.0489171588671816,0.0991412958626073,0.107893409631059,0,0.404255319148936
"29","Ascension","030600",0.0706664135181318,0.0175533369168845,0.0543692261093442,0.0257458730879903,0.0179547228727557,0.0200501442094206,0,0.361702127659574
"30","Ascension","030900",0.117410290487944,0.0213617488848267,0.0427078600636075,0.0408905043162199,0,0.00936768149882904,0,0.25531914893617
"31","Ascension","030204",0.0644009872792861,0.0168126791239851,0.0563380281690141,0.0274117825230956,0.126463700234192,0.102220199603878,0,0.404255319148936
"32","Assumption","050400",0.168509509066785,0.0456192237229862,0.0151745068285281,0.0197268588770865,0,0.307692307692308,0.072289156626506,0.127381837007543
"33","Assumption","050300",0.2140645731977,0.0477856746880089,0.121396054628225,0.103186646433991,0,0.307692307692308,0.192771084337349,0.335504538382789
"34","Assumption","050200",0,0.00176912870411322,0,0.0182094081942337,0,0.307692307692308,0,0.144578313253012
"35","Assumption","050600",0.0464396284829721,0.0338997829330619,0.427921092564492,0.223065250379363,1,0,0.734939759036145,0.14060777972475
"36","Assumption","050500",0.267433289105116,0.0735836675860035,0.031866464339909,0.0743550834597876,0,0.307692307692308,0,0.144578313253012
"37","Assumption","050100",0.303553000147427,0.0575776520708129,0.403641881638847,0.191198786039454,0,0.307692307692308,0,0.144578313253012
"38","Avoyelles","030800",0.018526423631862,0.0187701738827133,0,0.015748031496063,0,0.0545454545454545,0.0224719101123595,0.0379388096014745
