Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Total,Race Alone - White,Race Alone - Black or African American,Race Alone - American Indian and Alaska Native,Race Alone - Asian,Race Alone - Native Hawaiian and Other Pacific Islander,Two or More Races
est72012,1-Jul-12,male,Male,tothisp,Total,0500000US22103,22103,"St. Tammany Parish, Louisiana",116235,98843,13246,685,1512,52,1897
est72012,1-Jul-12,totsex,Both Sexes,hisp,Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",11898,10574,439,258,143,39,445
est72012,1-Jul-12,totsex,Both Sexes,nhisp,Not Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",227143,191871,27418,1084,3207,92,3471
est72012,1-Jul-12,totsex,Both Sexes,tothisp,Total,0500000US22103,22103,"St. Tammany Parish, Louisiana",239041,202445,27857,1342,3350,131,3916
est72013,1-Jul-13,female,Female,hisp,Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",5965,5241,253,140,83,25,223
est72013,1-Jul-13,female,Female,nhisp,Not Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",118213,99221,14732,547,1815,52,1846
est72013,1-Jul-13,female,Female,tothisp,Total,0500000US22103,22103,"St. Tammany Parish, Louisiana",124178,104462,14985,687,1898,77,2069
est72013,1-Jul-13,male,Male,hisp,Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",6343,5678,237,139,72,16,201
est72013,1-Jul-13,male,Male,nhisp,Not Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",111420,94242,13383,528,1481,35,1751
est72013,1-Jul-13,male,Male,tothisp,Total,0500000US22103,22103,"St. Tammany Parish, Louisiana",117763,99920,13620,667,1553,51,1952
est72013,1-Jul-13,totsex,Both Sexes,hisp,Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",12308,10919,490,279,155,41,424
est72013,1-Jul-13,totsex,Both Sexes,nhisp,Not Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",229633,193463,28115,1075,3296,87,3597
est72013,1-Jul-13,totsex,Both Sexes,tothisp,Total,0500000US22103,22103,"St. Tammany Parish, Louisiana",241941,204382,28605,1354,3451,128,4021
est72014,1-Jul-14,female,Female,hisp,Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",6220,5465,270,144,86,23,232
est72014,1-Jul-14,female,Female,nhisp,Not Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",119675,100333,14923,555,1834,52,1978
est72014,1-Jul-14,female,Female,tothisp,Total,0500000US22103,22103,"St. Tammany Parish, Louisiana",125895,105798,15193,699,1920,75,2210
est72014,1-Jul-14,male,Male,hisp,Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",6605,5905,248,143,81,17,211
est72014,1-Jul-14,male,Male,nhisp,Not Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",112732,95302,13464,547,1539,35,1845
est72014,1-Jul-14,male,Male,tothisp,Total,0500000US22103,22103,"St. Tammany Parish, Louisiana",119337,101207,13712,690,1620,52,2056
est72014,1-Jul-14,totsex,Both Sexes,hisp,Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",12825,11370,518,287,167,40,443
est72014,1-Jul-14,totsex,Both Sexes,nhisp,Not Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",232407,195635,28387,1102,3373,87,3823
est72014,1-Jul-14,totsex,Both Sexes,tothisp,Total,0500000US22103,22103,"St. Tammany Parish, Louisiana",245232,207005,28905,1389,3540,127,4266
est72015,1-Jul-15,female,Female,hisp,Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",6436,5645,283,139,91,26,252
est72015,1-Jul-15,female,Female,nhisp,Not Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",121442,101546,15262,589,1920,52,2073
est72015,1-Jul-15,female,Female,tothisp,Total,0500000US22103,22103,"St. Tammany Parish, Louisiana",127878,107191,15545,728,2011,78,2325
est72015,1-Jul-15,male,Male,hisp,Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",6882,6164,245,133,90,16,234
est72015,1-Jul-15,male,Male,nhisp,Not Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",114153,96245,13779,569,1590,32,1938
est72015,1-Jul-15,male,Male,tothisp,Total,0500000US22103,22103,"St. Tammany Parish, Louisiana",121035,102409,14024,702,1680,48,2172
est72015,1-Jul-15,totsex,Both Sexes,hisp,Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",13318,11809,528,272,181,42,486
est72015,1-Jul-15,totsex,Both Sexes,nhisp,Not Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",235595,197791,29041,1158,3510,84,4011
est72015,1-Jul-15,totsex,Both Sexes,tothisp,Total,0500000US22103,22103,"St. Tammany Parish, Louisiana",248913,209600,29569,1430,3691,126,4497
est72016,1-Jul-16,female,Female,hisp,Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",6688,5861,298,138,89,25,277
est72016,1-Jul-16,female,Female,nhisp,Not Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",123019,102632,15615,612,1980,50,2130
est72016,1-Jul-16,female,Female,tothisp,Total,0500000US22103,22103,"St. Tammany Parish, Louisiana",129707,108493,15913,750,2069,75,2407
est72016,1-Jul-16,male,Male,hisp,Hispanic,0500000US22103,22103,"St. Tammany Parish, Louisiana",7181,6431,274,131,79,17,249
